/home/hamdiaj/semantic-robustness/
/home/hamdiaj/semantic-robustness
gpu504-37
resnet 1 3 1 1 0 600
you asked for custom points ... 
starting the expereimtn
iteration:   0,   current loss = 0.0000 , boundaries:  [129.99999  29.99999] [130.00001  30.00001]
iteration:   1,   current loss = 0.0000 , boundaries:  [129.99998972  29.99998972] [130.00001028  30.00001028]
iteration:   2,   current loss = 0.0000 , boundaries:  [129.99998944  29.99998944] [130.00001056  30.00001056]
iteration:   3,   current loss = 0.0000 , boundaries:  [129.99998915  29.99998915] [130.00001085  30.00001085]
iteration:   4,   current loss = 0.0000 , boundaries:  [129.99998885  29.99998885] [130.00001115  30.00001115]
iteration:   5,   current loss = 0.0000 , boundaries:  [129.99998854  29.99998854] [130.00001146  30.00001146]
iteration:   6,   current loss = 0.0000 , boundaries:  [129.99998822  29.99998822] [130.00001178  30.00001178]
iteration:   7,   current loss = 0.0000 , boundaries:  [129.99998789  29.99998789] [130.0000121  30.0000121]
iteration:   8,   current loss = 0.0000 , boundaries:  [129.99998756  29.99998756] [130.00001244  30.00001244]
iteration:   9,   current loss = 0.0000 , boundaries:  [129.99998722  29.99998722] [130.00001278  30.00001278]
iteration:  10,   current loss = 0.0000 , boundaries:  [129.99998686  29.99998686] [130.00001314  30.00001314]
iteration:  11,   current loss = 0.0000 , boundaries:  [129.9999865  29.9999865] [130.0000135  30.0000135]
iteration:  12,   current loss = 0.0000 , boundaries:  [129.99998612  29.99998612] [130.00001387  30.00001387]
iteration:  13,   current loss = 0.0000 , boundaries:  [129.99998574  29.99998574] [130.00001425  30.00001425]
iteration:  14,   current loss = 0.0000 , boundaries:  [129.99998535  29.99998535] [130.00001465  30.00001465]
iteration:  15,   current loss = 0.0000 , boundaries:  [129.99998494  29.99998494] [130.00001505  30.00001505]
iteration:  16,   current loss = 0.0000 , boundaries:  [129.99998452  29.99998452] [130.00001547  30.00001547]
iteration:  17,   current loss = 0.0000 , boundaries:  [129.9999841  29.9999841] [130.0000159  30.0000159]
iteration:  18,   current loss = 0.0000 , boundaries:  [129.99998365  29.99998365] [130.00001634  30.00001634]
iteration:  19,   current loss = 0.0000 , boundaries:  [129.9999832  29.9999832] [130.00001679  30.00001679]
iteration:  20,   current loss = 0.0000 , boundaries:  [129.99998274  29.99998274] [130.00001725  30.00001725]
iteration:  21,   current loss = 0.0000 , boundaries:  [129.99998226  29.99998226] [130.00001773  30.00001773]
iteration:  22,   current loss = 0.0000 , boundaries:  [129.99998177  29.99998177] [130.00001822  30.00001822]
iteration:  23,   current loss = 0.0000 , boundaries:  [129.99998127  29.99998127] [130.00001872  30.00001872]
iteration:  24,   current loss = 0.0000 , boundaries:  [129.99998075  29.99998075] [130.00001924  30.00001924]
iteration:  25,   current loss = 0.0000 , boundaries:  [129.99998021  29.99998021] [130.00001977  30.00001977]
iteration:  26,   current loss = 0.0000 , boundaries:  [129.99997967  29.99997967] [130.00002032  30.00002032]
iteration:  27,   current loss = 0.0000 , boundaries:  [129.9999791  29.9999791] [130.00002088  30.00002088]
iteration:  28,   current loss = 0.0000 , boundaries:  [129.99997853  29.99997853] [130.00002146  30.00002146]
iteration:  29,   current loss = 0.0000 , boundaries:  [129.99997793  29.99997793] [130.00002205  30.00002205]
iteration:  30,   current loss = 0.0000 , boundaries:  [129.99997732  29.99997732] [130.00002266  30.00002266]
